report_date,campaign_name,channel,device,impressions,clicks,spend,conversions,revenue
2026-05-19,Brand Awareness,Facebook,Tablet,16394,441,490.57,19,1263.50
2026-05-19,Back to School,Instagram,Desktop,19890,695,827.33,44,3168.00
2026-05-19,B2B Lead Generation,LinkedIn,Mobile,8467,183,736.67,16,2793.60
2026-05-19,Email Retargeting,Email,Tablet,6610,772,211.84,70,4664.80
2026-05-19,Product Launch,YouTube,Desktop,29970,569,1042.12,21,1912.68
2026-05-20,Summer Sale,Google Ads,Tablet,10753,485,754.27,38,2815.80
2026-05-20,Brand Awareness,Facebook,Desktop,24380,662,693.51,29,1948.80
2026-05-20,Back to School,Instagram,Mobile,23806,840,1020.77,47,3419.25
2026-05-20,B2B Lead Generation,LinkedIn,Tablet,5806,126,517.67,11,1940.40
2026-05-20,Email Retargeting,Email,Desktop,7650,903,252.84,82,5520.24
2026-05-20,Product Launch,YouTube,Mobile,28123,540,1008.99,20,1840.00
2026-05-21,Summer Sale,Google Ads,Desktop,15950,727,1154.19,57,4268.16
2026-05-21,Brand Awareness,Facebook,Mobile,22669,622,665.04,28,1901.20
2026-05-21,Back to School,Instagram,Tablet,12776,455,564.20,26,1911.00
2026-05-21,B2B Lead Generation,LinkedIn,Desktop,6768,149,624.53,13,2316.60
2026-05-21,Email Retargeting,Email,Mobile,9234,1101,314.45,101,6868.00
2026-05-21,Product Launch,YouTube,Tablet,19440,377,718.37,14,1300.88
2026-05-22,Summer Sale,Google Ads,Mobile,14941,688,1114.56,55,4161.30
2026-05-22,Brand Awareness,Facebook,Tablet,15732,436,475.59,17,1166.20
2026-05-22,Back to School,Instagram,Desktop,19110,688,870.18,39,2895.75
2026-05-22,B2B Lead Generation,LinkedIn,Mobile,8145,181,773.68,16,2880.00
2026-05-22,Email Retargeting,Email,Tablet,6365,766,205.90,71,4876.28
2026-05-22,Product Launch,YouTube,Desktop,28890,516,925.96,20,1876.80
2026-05-23,Summer Sale,Google Ads,Tablet,10336,481,794.80,39,2981.16
2026-05-23,Brand Awareness,Facebook,Desktop,23460,657,730.85,26,1801.80
2026-05-23,Back to School,Instagram,Mobile,22932,834,992.79,48,3600.00
2026-05-23,B2B Lead Generation,LinkedIn,Tablet,5599,126,507.21,11,1999.80
2026-05-23,Email Retargeting,Email,Desktop,9435,1047,287.30,98,6797.28
2026-05-23,Product Launch,YouTube,Mobile,26914,486,890.11,19,1800.44
2026-05-24,Summer Sale,Google Ads,Desktop,15370,722,1122.85,52,4015.44
2026-05-24,Brand Awareness,Facebook,Mobile,28078,794,831.79,32,2240.00
2026-05-24,Back to School,Instagram,Tablet,15725,577,701.17,34,2575.50
2026-05-24,B2B Lead Generation,LinkedIn,Desktop,6480,134,550.54,12,2203.20
2026-05-24,Email Retargeting,Email,Mobile,8854,993,278.04,94,6583.76
2026-05-24,Product Launch,YouTube,Tablet,18662,340,635.29,13,1243.84
2026-05-25,Summer Sale,Google Ads,Mobile,14291,678,1076.39,49,3822.00
2026-05-25,Brand Awareness,Facebook,Tablet,15070,430,459.76,18,1272.60
2026-05-25,Back to School,Instagram,Desktop,18330,620,768.80,37,2830.50
2026-05-25,B2B Lead Generation,LinkedIn,Mobile,7822,163,683.21,15,2781.00
2026-05-25,Email Retargeting,Email,Tablet,6120,693,197.92,66,4667.52
2026-05-25,Product Launch,YouTube,Desktop,27810,513,977.52,20,1748.00
2026-05-26,Summer Sale,Google Ads,Tablet,9918,475,769.50,35,2757.30
2026-05-26,Brand Awareness,Facebook,Desktop,22540,593,646.84,24,1713.60
2026-05-26,Back to School,Instagram,Mobile,22058,754,953.66,45,3476.25
2026-05-26,B2B Lead Generation,LinkedIn,Tablet,5391,114,487.29,10,1872.00
2026-05-26,Email Retargeting,Email,Desktop,9095,1041,279.82,101,6524.60
2026-05-26,Product Launch,YouTube,Mobile,33264,619,1110.80,22,1943.04
2026-05-27,Summer Sale,Google Ads,Desktop,14790,653,1079.02,48,3818.88
2026-05-27,Brand Awareness,Facebook,Mobile,27048,719,799.82,30,2163.00
2026-05-27,Back to School,Instagram,Tablet,15163,524,623.77,32,2496.00
2026-05-27,B2B Lead Generation,LinkedIn,Desktop,7992,171,688.36,16,2736.00
2026-05-27,Email Retargeting,Email,Mobile,8473,980,268.91,96,6266.88
2026-05-27,Product Launch,YouTube,Tablet,17885,336,615.38,12,1070.88
2026-05-28,Summer Sale,Google Ads,Mobile,17702,790,1228.61,59,4740.06
2026-05-28,Brand Awareness,Facebook,Tablet,18547,499,522.75,21,1528.80
2026-05-28,Back to School,Instagram,Desktop,17550,613,744.92,37,2636.25
2026-05-28,B2B Lead Generation,LinkedIn,Mobile,7500,162,665.58,15,2592.00
2026-05-28,Email Retargeting,Email,Tablet,5875,686,192.08,60,3957.60
2026-05-28,Product Launch,YouTube,Desktop,26730,508,949.20,18,1622.88
2026-05-29,Summer Sale,Google Ads,Tablet,9500,429,681.08,32,2595.84
2026-05-29,Brand Awareness,Facebook,Desktop,21620,587,627.62,25,1662.50
2026-05-29,Back to School,Instagram,Mobile,21185,747,926.28,46,3312.00
2026-05-29,B2B Lead Generation,LinkedIn,Tablet,5184,113,473.64,11,1920.60
2026-05-29,Email Retargeting,Email,Desktop,8755,1033,295.02,91,6064.24
2026-05-29,Product Launch,YouTube,Mobile,32054,615,1171.88,22,2003.76
2026-05-30,Summer Sale,Google Ads,Desktop,14210,648,1049.76,50,3705.00
2026-05-30,Brand Awareness,Facebook,Mobile,26018,714,778.83,31,2083.20
2026-05-30,Back to School,Instagram,Tablet,14602,520,657.70,32,2328.00
2026-05-30,B2B Lead Generation,LinkedIn,Desktop,7704,169,722.39,14,2469.60
2026-05-30,Email Retargeting,Email,Mobile,10472,1248,335.46,111,7472.52
2026-05-30,Product Launch,YouTube,Tablet,17107,332,595.77,12,1104.00
